button.removeFromList	从库中移除(_R)
button.cui.guestOSInfoBar.btnLblHelp	帮助
button.cui.guestOSInfoBar.btnLblFinished	我已完成安装
button.cui.toolsInfoBar.btnLblInstall	安装 Tools
button.cui.toolsInfoBar.btnLblUpdate	更新 Tools
button.cui.toolsInfoBar.btnLblLater	稍后提醒我
button.cui.toolsInfoBar.btnLblNever	不再提醒我
button.cui.toolsInfoBar.btnLblHelp	帮助
button.cui.toolsInfoBar.btnLblInstructions	说明
button.cui.toolsInfoBar.btnLblRetry	重试
button.cui.toolsInfoBar.btnLblCancel	取消
button.cui.convertTeam	转换工作组(_O)
button.cui.wizard.cancel	取消(_C)
button.cui.wizard.back	上一步(_B)
button.cui.wizard.next	下一步(_N)
button.cui.wizard.finish	完成(_F)
button.cui.wizard.close	关闭(_C)
button.cui.wizard.help	帮助(_H)
button.vmui.collectSupportData.collect	收集(_T)
button.lui.dlgCertificateCheck.ignore	仍要连接(_O)
button.lui.dlgCertificateCheck.viewCert	查看证书(_V)
button.lui.downloadProgress.checkForUpdates	检查更新(_U)
button.lui.downloadProgress.hide	隐藏(_H)
button.lui.downloadPrompt.getInfo	获取更多信息(_G)
button.lui.downloadPrompt.download	下载并安装(_D)
button.lui.downloadPrompt.ignore	跳过此版本(_S)
button.lui.downloadPrompt.remindLater	稍后提醒我(_R)
button.lui.inventorybrowser.cancel	取消
button.lui.inventorybrowser.ok	确定(_O)
button.ui.linux.dlgLanSegments.renameButton	重命名(_R)
button.ui.linux.removeAll.accel	全部移除(_A)
button.lui.import	导入(_I)
button.dontCancel	不取消(_C)
button.cancelDownload	取消下载(_N)
button.lui.toolsMgr.promptTryAnyway.download	下载并安装(_D)
button.install	安装
button.lui.inventoryView.cancelButton	取消
button.lui.inventoryView.removeButton	移除
button.lui.inventoryView.removePlusContentsButton	移除文件夹及其内容(_F)
button.lui.inventoryView.removeFromLibraryButton	从库中移除(_L)
button.lui.inventoryView.deleteFromDiskButton	从磁盘删除(_D)
button.vmsettings.options.encryption.decrypt.warning.decrypt	移除加密(_R)
button.vmsettings.options.encryption.encrypt.warning.encrypt	加密(_E)
button.vmsettings.options.encryption.encrypt.go	加密(_E)
button.lui.savePasswordInfoBar.remember	记住(_R)
button.lui.savePasswordInfoBar.never	对此服务器永不记住(_s)
button.lui.savePasswordInfoBar	暂不(_N)
button.lui.savePasswordInfoBar.change	更改(_C)
button.lui.savePasswordInfoBar.dontChange	不更改(_D)
button.ui.wizard.vm.guestid.rescan	重新扫描光盘(_E)
button.ui.wizard.vm.guestid.whatsthis	(这是什么?)
button.vmui.linux.wizard.searchvm.browselibrary	浏览...
button.vmui.linux.wizard.searchvm.selectall	全选
button.vmui.linux.wizard.searchvm.unselectall	全不选
button.ui.wizard.vm.summary.changeHardware	自定义硬件(_H)...
