msg.vmui.window.linux.actions.windowedCenterGuest.tooltip	将客户机居中于主机显示器
msg.vmui.window.linux.actions.windowedCenterGuest	居中客户机(_C)
msg.vmui.window.linux.actions.fullscreenResizeGuest.tooltip	更改客户机分辨率以匹配主机
msg.vmui.window.linux.actions.fullscreenResizeGuest	自动调整客户机(_G)
msg.vmui.window.linux.actions.fullscreenStretchGuest.tooltip	拉伸客户机屏幕以适应主机
msg.vmui.window.linux.actions.fullscreenStretchGuest	拉伸客户机(_S)
msg.vmui.window.linux.actions.fullscreenCenterGuest.tooltip	将客户机居中于主机显示器
msg.vmui.window.linux.actions.fullscreenCenterGuest	居中客户机(_C)
msg.vmui.window.linux.actions.exclusiveMode.tooltip	独占使用此虚拟机
msg.vmui.window.linux.actions.exclusiveMode	独占模式(_X)
msg.vmui.window.linux.couldNotLaunchFuseMountUI	无法启动虚拟磁盘管理工具。\n\n%s
msg.vmui.window.linux.library	库
msg.vmui.window.linux.pinHideControls	隐藏工具栏
msg.vmui.window.linux.pinShowControls	始终显示工具栏
msg.vmui.window.linux.pinShowHideControls	显示/隐藏工具栏
msg.vmui.window.linux.pasteFailedReason	粘贴时发生错误：%s
msg.vmui.window.linux.pasteFailed	粘贴失败
